fare_product_id,fare_product_name,amount,currency,fare_media_id
metro_single_cemv,O călătorie cu metroul,5.00,RON,cemv
metro_single_card,O călătorie cu metroul,5.00,RON,metro_card
metro_single_mag,O călătorie cu metroul,5.00,RON,metro_mag
metro_10pack,Pachet 10 călătorii metrou,40.00,RON,metro_card
metro_10pack_mag,Pachet 10 călătorii metrou,40.00,RON,metro_mag
metro_24h,Abonament metrou 24 ore,12.00,RON,metro_card
metro_24h_mag,Abonament metrou 24 ore,12.00,RON,metro_mag
metro_72h,Abonament metrou 72 ore,35.00,RON,metro_card
metro_72h_mag,Abonament metrou 72 ore,35.00,RON,metro_mag
metro_7day,Abonament metrou 7 zile,45.00,RON,metro_card
metro_7day_mag,Abonament metrou 7 zile,45.00,RON,metro_mag
metro_month,Abonament metrou lunar,100.00,RON,metro_card
metro_month_mag,Abonament metrou lunar,100.00,RON,metro_mag
metro_6month,Abonament metrou 6 luni,500.00,RON,metro_card
metro_year,Abonament metrou anual,900.00,RON,metro_card
bus_single_cemv,O călătorie cu transportul de suprafață,3.00,RON,cemv
bus_single_activ,O călătorie cu transportul de suprafață,3.00,RON,activ
bus_single_multiplu,O călătorie cu transportul de suprafață,3.00,RON,multiplu
bus_24h_activ,Abonament transport de suprafață 24 ore,8.00,RON,activ
bus_24h_multiplu,Abonament transport de suprafață 24 ore,8.00,RON,multiplu
bus_72h_activ,Abonament transport de suprafață 72 ore,20.00,RON,activ
bus_72h_multiplu,Abonament transport de suprafață 72 ore,20.00,RON,multiplu
bus_7day_activ,Abonament transport de suprafață 7 zile,30.00,RON,activ
bus_7day_multiplu,Abonament transport de suprafață 7 zile,30.00,RON,multiplu
bus_month_activ,Abonament transport de suprafață lunar,80.00,RON,activ
bus_6month_activ,Abonament transport de suprafață 6 luni,400.00,RON,activ
bus_year_activ,Abonament transport de suprafață anual,700.00,RON,activ
integrated_single_activ,O călătorie integrată,7.00,RON,activ
integrated_single_disp,O călătorie integrată,7.00,RON,integrated_card
integrated_10pack_activ,Pachet 10 călătorii integrate,59.00,RON,activ
integrated_10pack_disp,Pachet 10 călătorii integrate,59.00,RON,integrated_card
integrated_24h_activ,Abonament integrat 24 ore,18.00,RON,activ
integrated_24h_disp,Abonament integrat 24 ore,18.00,RON,integrated_card
integrated_72h_activ,Abonament integrat 72 ore,49.00,RON,activ
integrated_72h_disp,Abonament integrat 72 ore,49.00,RON,integrated_card
integrated_7day_activ,Abonament integrat 7 zile,66.00,RON,activ
integrated_month_activ,Abonament integrat lunar,160.00,RON,activ
integrated_6month_activ,Abonament integrat 6 luni,800.00,RON,activ
integrated_year_activ,Abonament integrat anual,1410.00,RON,activ
